record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,5,500,195,156,89,255,0.39,0.312,0.178,0.51,3.804,6.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,6,500,195,195,305,0,0.39,0.39,0.61,0.0,3.804,6.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,1,500,189,109,58,333,0.378,0.218,0.116,0.666,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,2,500,189,133,80,287,0.378,0.266,0.16,0.574,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,3,500,189,143,90,267,0.378,0.286,0.18,0.534,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,4,500,189,153,99,248,0.378,0.306,0.198,0.496,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,5,500,189,154,105,241,0.378,0.308,0.21,0.482,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,400,6,500,189,189,311,0,0.378,0.378,0.622,0.0,3.752,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,1,500,218,208,271,21,0.436,0.416,0.542,0.042,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,2,500,218,210,273,17,0.436,0.42,0.546,0.034,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,3,500,218,212,274,14,0.436,0.424,0.548,0.028,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,4,500,218,212,275,13,0.436,0.424,0.55,0.026,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,5,500,218,212,275,13,0.436,0.424,0.55,0.026,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,0,6,500,218,218,282,0,0.436,0.436,0.564,0.0,1.156,1.0,1.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,1,500,11,9,436,55,0.022,0.018,0.872,0.11,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,2,500,11,10,476,14,0.022,0.02,0.952,0.028,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,3,500,11,10,483,7,0.022,0.02,0.966,0.014,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,4,500,11,11,486,3,0.022,0.022,0.972,0.006,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,5,500,11,11,488,1,0.022,0.022,0.976,0.002,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,100,6,500,11,11,489,0,0.022,0.022,0.978,0.0,1.16,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,1,500,15,14,424,62,0.03,0.028,0.848,0.124,1.156,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,2,500,15,15,473,12,0.03,0.03,0.946,0.024,1.156,1.0,2.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 32B,200,3,500,15,15,483,2,0.03,0.03,0.966,0.004,1.156,1.0,2.0
